source_name,filename,file_owner,ra_deg,dec_deg,l_deg,b_deg,time_utc,time_mjd,size_gb,fres_khz,tsamp,tobs_min,npol
Crab_2021-06-16_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2022-06-14T11:29:59.999,59744.47916665271,158.45,-24.41406,0.00065536,118.99896490666667,1
Crab_2021-06-16,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2021-06-16T11:00:00.001,59381.45833334157,118.5,-24.41406,0.00065536,88.99892701866666,1
Crab_2022-04-12_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-04-12_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-17_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-17_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-03-09_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-03-09_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
J0103_164,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_164.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.044,59240.73663245048,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_228,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_228.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.108,59240.73663319122,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_7,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_7.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.887,59240.73663063335,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_16,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_16.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.896,59240.73663073752,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_366,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_366.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.246,59240.736634788445,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_430,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_430.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.310,59240.73663552918,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_242,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_242.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.122,59240.736633353255,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_301,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_301.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.181,59240.736634036126,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_464,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_464.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.344,59240.7366359227,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_447,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_447.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.327,59240.736635725945,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_463,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_463.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.343,59240.736635911126,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_312,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_312.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.192,59240.73663416344,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_488,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_488.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.368,59240.73663620048,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_233,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_233.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.113,59240.73663324909,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_292,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_292.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.172,59240.73663393196,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_74,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_74.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.954,59240.736631408814,0.09,-24.414,0.00065536,0.2747706026666667,1
