Target,Date,MJD,Lane Count,Total Size (GB),Path,Header Path
J2145-0750,2024-01-22 11:59:51,60331.49989583333,4,408.16656028758734,/mnt/ucc1_recording1/data/observations/20240122T073100/20240122115951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
Crab,2024-04-30 14:59:51,60430.62489583333,4,605.687094476074,/mnt/ucc1_recording1/data/observations/20240430145951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J2145-0750,2025-02-19 11:59:51,60725.49989583333,4,265.0009580142796,/mnt/ucc1_recording1/data/observations/20250219T092500/20250219115951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
J0034-0534,2025-02-19 14:44:51,60725.61447916667,4,263.11233798321337,/mnt/ucc1_recording1/data/observations/20250219T092500/20250219144451J0034-0534_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J0034-0534.sigprochdr
Crab,2024-08-13 07:59:51,60535.33322916667,4,294.94382563140243,/mnt/ucc1_recording1/data/observations/20240812T224500/20240813075951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-06-04 11:29:51,60465.4790625,4,593.9217062909156,/mnt/ucc1_recording1/data/observations/20240604T060000/20240604112951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-10-08 05:00:51,60591.208923611106,4,295.4275829605758,/mnt/ucc1_recording1/data/observations/20241007T191500/20241008050051Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-07-02 10:59:51,60493.45822916667,4,295.69389324449,/mnt/ucc1_recording1/data/observations/20240702T060000/20240702105951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-07-03 10:59:51,60494.45822916667,4,295.7152918037027,/mnt/ucc1_recording1/data/observations/20240702T060000/20240703105951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-08-06 08:29:51,60528.3540625,4,295.9069170029834,/mnt/ucc1_recording1/data/observations/20240806T060000/20240806082951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-08-07 08:29:51,60529.3540625,4,295.81616785842925,/mnt/ucc1_recording1/data/observations/20240806T060000/20240807082951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-06-18 10:59:51,60479.45822916667,4,618.5668222950771,/mnt/ucc1_recording1/data/observations/20240618T070000/20240618105951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-06-19 11:29:51,60480.4790625,4,600.6222143052146,/mnt/ucc1_recording1/data/observations/20240618T070000/20240619112951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J1022+1001,2024-11-03 05:59:51,60617.24989583333,4,1028.5117846019566,/mnt/ucc1_recording1/data/observations/20241103T053000/20241103055951J1022+1001_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1022+1001.sigprochdr
Crab,2024-07-16 10:09:51,60507.42350694444,4,193.5004994124174,/mnt/ucc1_recording1/data/observations/20240716T091800/20240716100951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
Crab,2024-07-17 10:09:51,60508.42350694444,4,193.33225628361106,/mnt/ucc1_recording1/data/observations/20240716T091800/20240717100951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J2145-0750,2024-01-19 11:59:51,60328.49989583333,4,402.0078285243362,/mnt/ucc1_recording1/data/observations/20240119T073000/20240119115951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
J1538+2345,2024-01-19 07:59:51,60328.33322916667,3,363.87246365565807,/mnt/ucc1_recording1/data/observations/20240119T073000/20240119075951J1538+2345,/mnt/ucc4_data2/data/David/hdrs/mode5/J1538+2345.sigprochdr
J1645-0317,2024-01-19 08:59:51,60328.37489583333,4,171.18600469082594,/mnt/ucc1_recording1/data/observations/20240119T073000/20240119085951J1645-0317_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1645-0317.sigprochdr
J1732+54,2024-01-19 09:19:51,60328.38878472222,4,879.930051131174,/mnt/ucc1_recording1/data/observations/20240119T073000/20240119091951J1732+54,/mnt/ucc4_data2/data/David/hdrs/mode5/J1732+54.sigprochdr
J1832+27,2024-01-19 10:59:51,60328.45822916667,4,547.9503732612357,/mnt/ucc1_recording1/data/observations/20240119T073000/20240119105951J1832+27_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1832+27.sigprochdr
B2224+65,2025-01-22 15:29:51,60697.64572916667,4,281.2934409426525,/mnt/ucc1_recording1/data/observations/20250121T153000/20250122152951B2224+65,/mnt/ucc4_data2/data/David/hdrs/mode5/B2224+65.sigprochdr
B2224+65,2025-01-22 12:29:51,60697.52072916667,4,552.8431586204097,/mnt/ucc1_recording1/data/observations/20250121T153000/20250122122951B2224+65,/mnt/ucc4_data2/data/David/hdrs/mode5/B2224+65.sigprochdr
J1744-1134,2024-05-14 23:59:51,60444.99989583333,4,546.4684828156605,/mnt/ucc1_recording1/data/observations/20240514T080100/20240514235951J1744-1134,/mnt/ucc4_data2/data/David/hdrs/mode5/J1744-1134.sigprochdr
J0030+0451,2024-11-17 19:59:51,60631.83322916667,4,1041.9184901574627,/mnt/ucc1_recording1/data/observations/20241117T193000/20241117195951J0030+0451,/mnt/ucc4_data2/data/David/hdrs/mode5/J0030+0451.sigprochdr
LOFTS0127,2024-11-20 17:09:51,60634.71517361111,4,474.3810699181631,/mnt/ucc1_recording1/data/observations/20241119T173600/20241120170951LOFTS0127,Unknown
LOFTS0124,2024-11-20 13:06:51,60634.546423611115,4,711.5188397392631,/mnt/ucc1_recording1/data/observations/20241119T173600/20241120130651LOFTS0124,Unknown
LOFTS0126,2024-11-20 15:48:51,60634.65892361111,4,730.3510793568566,/mnt/ucc1_recording1/data/observations/20241119T173600/20241120154851LOFTS0126,Unknown
LOFTS0125,2024-11-20 14:27:51,60634.60267361111,4,731.4840982640162,/mnt/ucc1_recording1/data/observations/20241119T173600/20241120142751LOFTS0125,Unknown
GOTO065054.49+593624.51,2024-10-22 09:20:51,60605.38947916667,4,1053.6877618236467,/mnt/ucc1_recording1/data/observations/20241022T085100/20241022092051GOTO065054.49+593624.51,/mnt/ucc4_data2/data/David/hdrs/mode5/GOTO065054.49+593624.51.sigprochdr
J1022+1001,2024-01-17 02:59:51,60326.12489583333,4,74.32556329853833,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117025951J1022+1001_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1022+1001.sigprochdr
B0329+54,2024-01-17 01:59:51,60326.08322916667,4,283.6692955940962,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117015951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 21:59:51,60325.9165625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116215951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 07:59:52,60326.33324074074,4,137.458277605474,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117075952B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 03:39:51,60326.15267361111,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117033951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 09:59:51,60326.4165625,4,134.38354713097215,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117095951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
J0034-0534,2024-01-16 14:59:51,60325.62489583333,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116145951J0034-0534_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J0034-0534.sigprochdr
J2145-0750,2024-01-16 11:59:51,60325.49989583333,4,486.10051959194243,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116115951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
B0329+54,2024-01-17 06:59:51,60326.2915625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117065951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 10:59:51,60326.45822916667,4,132.29840506706387,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117105951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 08:59:51,60326.37489583333,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117085951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 05:59:51,60326.24989583333,4,263.83207712415606,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117055951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 22:59:51,60325.95822916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116225951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 16:59:51,60325.70822916667,4,443.4804797936231,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116165951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
J2145-0750,2024-01-17 11:59:51,60326.49989583333,4,43.85011231992394,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117115951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
B0329+54,2024-01-16 18:59:51,60325.7915625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116185951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 00:59:51,60326.0415625,4,135.26413088757545,/mnt/ucc1_recording1/data/observations/20240116T073000/20240117005951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 19:59:51,60325.83322916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T073000/20240116195951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
Crab,2024-09-14 05:59:51,60567.24989583333,4,296.20970853138715,/mnt/ucc1_recording1/data/observations/20240913T151500/20240914055951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
LOFTS0062,2024-10-16 02:11:51,60599.091562500005,4,729.9945738641545,/mnt/ucc1_recording1/data/observations/20241015T173600/20241016021151LOFTS0062,Unknown
LOFTS0065,2024-10-16 06:21:51,60599.265173611115,4,696.0173500683159,/mnt/ucc1_recording1/data/observations/20241015T173600/20241016062151LOFTS0065,Unknown
LOFTS0063,2024-10-16 03:32:51,60599.1478125,4,717.1537347044796,/mnt/ucc1_recording1/data/observations/20241015T173600/20241016033251LOFTS0063,Unknown
